Banco;Sector;Entidad Responsable;Bpin;Nombre Proyecto;Estado;Horizonte;Valor Total;Localizaciones
Territorio;Transporte;Concordia,Antioquia;202500000010862;Mejoramiento Y Mantenimiento De La Red Vial Del Municipio De  Concordia;En Ejecución;2025 - 2025;3300000000,00;1
Territorio;Salud Y Protección Social;Concordia,Antioquia;202500000010847;Implementación De Estrategias De Inspección, Vigilancia Y Control Del Sector Salud En El Municipio De  Concordia;En Ejecución;2025 - 2025;276632621,00;1
Territorio;Justicia Y Del Derecho;Concordia,Antioquia;202500000010833;Apoyo  Del Sistema Penitenciario Y Carcelario En El Marco De Los Derechos Humanos Para El Municipio De  Concordia;En Ejecución;2025 - 2025;1000000000,00;1
Territorio;Agricultura Y Desarrollo Rural;Concordia,Antioquia;202500000010818;Fortalecimiento De Actividades Agropecuarias Y Empresariales Del Municipio De  Concordia;En Ejecución;2025 - 2025;159000000,00;1
Territorio;Minas Y Energía;Concordia,Antioquia;202500000010798;Mejoramiento Del Sistema De Alumbrado Publico En El Municipio De  Concordia;En Ejecución;2025 - 2025;324000000,00;1
Territorio;Ambiente Y Desarrollo Sostenible;Concordia,Antioquia;202500000010797;Implementación  De Estrategias Para La Gestión Del Cambio Climático En El Municipio De  Concordia;En Ejecución;2025 - 2025;44000000,00;1
Territorio;Cultura;Concordia,Antioquia;202500000010795;Desarrollo De Estrategias De Promoción Y Acceso A Procesos Artísticos Y Culturales En El Municipio De  Concordia;En Ejecución;2025 - 2025;961708553,00;1
Territorio;Inclusión Social Y Reconciliación;Concordia,Antioquia;202500000010789;Desarrollo  De Estrategias De Inclusión Social Y Productiva Para La Población En Situación De Vulnerabilidad En El Municipio  Concordia;En Ejecución;2025 - 2025;381000000,00;1
Territorio;Educación;Concordia,Antioquia;202500000010776;Desarrollo De Estrategias De Fomento Y Acceso A La Educación Superior En El Municipio De  Concordia;En Ejecución;2025 - 2025;3000000,00;1
Territorio;Salud Y Protección Social;Concordia,Antioquia;202500000010773;Implementación  De Procesos De Gestión En Salud En El Municipio De  Concordia;En Ejecución;2025 - 2025;614043845,00;1
Territorio;Información Estadística;Valdivia,Antioquia;202500000010769;Implementación  Y Actualización Del Sistema De Catastro Multipropósito En El Municipio De   Valdivia;En Ejecución;2025 - 2025;40000000,00;1
Territorio;Vivienda, Ciudad Y Territorio;San Pedro de Urabá,Antioquia;202500000010654;Ampliación Y Optimización Del Sistema De Acueducto  Del Municipio De  San Pedro De Urabá, Antioquia;En Ejecución;2025 - 2025;1021313251,00;1
Territorio;Inclusión Social Y Reconciliación;Yalí,Antioquia;202500000010608;Implementación De La Política Pública De Juventud En El Municipio De  Yalí;En Ejecución;2025 - 2027;36000000,00;1
Territorio;Deporte Y Recreación;Yalí,Antioquia;202500000010603;Construcción Y/O Mejoramiento De Escenarios Deportivos En El Municipio De  Yalí;En Ejecución;2025 - 2027;308000000,00;1
Territorio;Transporte;Yalí,Antioquia;202500000010602;Mejoramiento De La Red Vial Urbana Y Rural En El Municipio De  Yalí;En Ejecución;2025 - 2027;1108101128,73;1
Territorio;Salud Y Protección Social;Barbosa,Antioquia;202500000010582;Fortalecimiento De Las Intervenciones Colectivas A Través De La Estrategia Atención Primaria En Salud En El Municipio De  Barbosa;En Ejecución;2025 - 2028;701701423,92;1
Territorio;Salud Y Protección Social;Barbosa,Antioquia;202500000010518;Fortalecimiento A Los Procesos Para La Gestión De La Salud Pública Del Municipio De  Barbosa;En Ejecución;2025 - 2028;766109983,54;1
Territorio;Vivienda, Ciudad Y Territorio;Yalí,Antioquia;202500000010502;Mantenimiento De Vivienda En La Zona Urbana Y Rural Del Municipio De  Yalí;En Ejecución;2025 - 2027;90000000,00;1
Territorio;Educación;Barbosa,Antioquia;202500000010487;Fortalecimiento , Calidad Y Cobertura Institucional De La Educación Inicial, Prescolar, Básica Y Media Y Política Pública Pem Del Municipio De    Barbosa;En Ejecución;2025 - 2028;2166960635,00;1
Territorio;Deporte Y Recreación;Yalí,Antioquia;202500000010311;Fortalecimiento De La Práctica Deportiva, Recreativa Y De Actividad Física En El Municipio De  Yalí;En Ejecución;2025 - 2027;694800500,00;1
Territorio;Cultura;Yalí,Antioquia;202500000010310;Fortalecimiento De Las Actividades Artísticas, Culturales Y De Sano Esparcimiento En El Municipio De  Yalí;En Ejecución;2025 - 2027;483601700,00;1
Territorio;Educación;Yalí,Antioquia;202500000010305;Implementación Del Plan Educativo De Alimentación Escolar En El Municipio  Yalí;En Ejecución;2025 - 2027;780640349,00;1
Territorio;Gobierno Territorial;San Pedro de Urabá,Antioquia;202500000010304;Adecuación Mantenimiento Y Dotación De La Infraestructura Donde Funcionan Las Sedes De Alcaldía Del Municipio De   San Pedro De Urabá, Antioquia;En Ejecución;2025 - 2025;22886710,00;1
Territorio;Vivienda, Ciudad Y Territorio;Yalí,Antioquia;202500000010300;Mantenimiento De La Prestación De Los Servicios De Acueducto, Alcantarillado Y Aseo En La Zona Urbana Del Municipio De  Yalí;En Ejecución;2025 - 2027;2447877863,96;1
Territorio;Gobierno Territorial;San Pedro de Urabá,Antioquia;202500000010295;Apoyo A La Gestión Pública Local Para El Desarrollo De Las Acciones Establecidas En El Sector De Inversión Gobierno Territorial Del Municipio De  San Pedro De Urabá;En Ejecución;2025 - 2025;611714035,00;1
Territorio;Salud Y Protección Social;Yalí,Antioquia;202500000010274;Fortalecimiento De La Salud Pública Para La Prevención De La Enfermedad Y La Promoción De La Cultura Del Cuidado De La Población Y Su Entornoen El Municipio De  Yalí;En Ejecución;2025 - 2027;687367632,00;1
Territorio;Comercio, Industria Y Turismo;Marinilla,Antioquia;202500000010217;Fortalecimiento El Turismo Para Que Sea Sostenible Y Competitivo En El Municipio De  Marinilla;En Ejecución;2025 - 2027;1674000000,00;1
Territorio;Justicia Y Del Derecho;Argelia,Antioquia;202500000010213;Fortalecimiento El Marco De Justicia Y Protección De Derechos En La Comunidad A Través De La Educación Y La Información Dirigida A Los Ciudadanos En El Municipio De  Argelia;Viable;2025 - 2028;0,00;1
Territorio;Gobierno Territorial;Yalí,Antioquia;202500000010199;Implementación Del Plan Municipal De Gestión Del Riesgo Del Municipio De  Yalí;En Ejecución;2025 - 2027;135000000,00;1
Territorio;Agricultura Y Desarrollo Rural;Yalí,Antioquia;202500000010180;Fortalecimiento Agropecuario En El Municipio De  Yalí;En Ejecución;2025 - 2027;358000000,00;1
Territorio;Educación;San Pedro de Urabá,Antioquia;202500000010120;Desarrollo De Acciones Que Permitan La Asistencia Técnica, Inspección, Vigilancia, Fomento, Promoción, Accesibilidad, Funcionamiento, Orientación, Calidad, Cobertura Y Fortalecimiento De La Educación Inicial, Prescolar, Básica Y Media En El Municipio De   San Pedro De Urabá;En Ejecución;2025 - 2025;2177112765,00;1
Territorio;Salud Y Protección Social;Montebello,Antioquia;202500000010079;Adecuación De Obras Menores De La Infraestructura Del Puesto De Salud Sabaletas Del Municipio De Montebello  Antioquia;En Ejecución;2025 - 2025;298770183,00;1
Territorio;Gobierno Territorial;Marinilla,Antioquia;202500000010066;Fortalecimiento Del Proceso De Participación Ciudadana Y Comunitaria Y Derechos De Las Mujeres En   Marinilla;En Ejecución;2025 - 2027;533934062,00;1
Territorio;Vivienda, Ciudad Y Territorio;Barbosa,Antioquia;202500000010049;Subsidio Del Fondo De Solidaridad Y El Sgp - Agua Potable Y Saneamiento Básico - A Las Empresas Prestadoras De Servicios Públicos Para Los Niveles 1 Y 2 Del Municipio De   Barbosa;En Ejecución;2025 - 2028;2816412226,00;1
Territorio;Inclusión Social Y Reconciliación;Briceño,Antioquia;202500000010032;Implementación De Unidades Productivas Agropecuarias Generadoras De Seguridad Alimentaria En El Municipio De  Briceño, Antioquia;En Ejecución;2025 - 2025;191079000,00;1
Territorio;Cultura;San Pedro de Urabá,Antioquia;202500000010028;Apoyo En La Implementación De  Procesos Culturales Y Artísticos Enfocados En La Vida, Cambio Social Y Desarrollo Para La Paz En El Municipio De   San Pedro De Urabá;En Ejecución;2025 - 2025;730647074,00;1
Territorio;Ambiente Y Desarrollo Sostenible;Argelia,Antioquia;202500000010025;Implementación De Acciones Para El Fortalecimiento De La Conservación De La Biodiversidad Y Sus Servicios Ecosistémicos, Para Un Desarrollo Sostenible Con El Medio Ambiente Y Resiliente Al Cambio Climático En El Municipio De  Argelia;Viable;2025 - 2028;0,00;1
